FS_CD,FS_LN_KEY,ACCT_ID,MODIFIED_BY,TIME_STAMP,COMPANY_ID,S_CF_ACCT_TYP_CD,S_CF_ACTVTY_CD,ROWVERSION
INCSTM,79,0816-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0817-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0817-005,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0817-010,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0817-015,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0817-020,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0817-025,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0818-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0819-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0820-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0821-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0822-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0824-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0825-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0826-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0830-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0832-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0834-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,79,0836-000,JLAPINGTON,2017-02-21,1,,,0
INCSTM,25,0583-10M,SGOSS,2016-02-13,1,,,0
INCSTM,25,0583-10F,SGOSS,2016-02-13,1,,,0
INCSTM,25,0571-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0521-100,SGOSS,2016-02-13,1,,,0
INCSTM,24,0583-00M,SGOSS,2016-02-13,1,,,0
INCSTM,24,0583-00F,SGOSS,2016-02-13,1,,,0
INCSTM,24,0572-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0571-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0570-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0563-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0562-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0561-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0560-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0559-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0555-000,SGOSS,2016-02-13,1,,,0
INCSTM,24,0550-000,SGOSS,2016-02-13,1,,,0
INCSTM,9,1040-005,SGOSS,2016-02-13,1,,,0
INCSTM,8,1040-000,SGOSS,2016-02-13,1,,,0
INCSTM,7,1010-000,SGOSS,2016-02-13,1,,,0
INCSTM,5,1000-100,SGOSS,2016-02-13,1,,,0
INCSTM,4,1000-000,SGOSS,2016-02-13,1,,,0
INCSTM,2,0300-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0440-000,SGOSS,2016-02-13,1,,,0
INCSTM,25,0500-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0505-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0516-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0518-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0520-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0540-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0534-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0532-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0530-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0526-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0525-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0524-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0522-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0559-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0555-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0550-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0549-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0547-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0546-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0545-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0544-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0542-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0572-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0570-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0563-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0562-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0561-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0560-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0519-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0517-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0515-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0511-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0512-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0513-100,SGOSS,2016-02-13,1,,,0
INCSTM,25,0508-100,SGOSS,2016-02-13,1,,,0
INCSTM,21,0410-000,SGOSS,2016-02-13,1,,,0
INCSTM,27,0683-00A,SGOSS,2016-02-13,1,,,0
INCSTM,21,0441-000,SGOSS,2016-02-13,1,,,0
INCSTM,21,0400-000,SGOSS,2016-02-13,1,,,0
INCSTM,27,EMSC-MTH,JLAPINGTON,2017-02-21,1,,,0
INCSTM,27,FCSC-MTH,JLAPINGTON,2017-02-21,1,,,0
INCSTM,27,HRSC-MTH,JLAPINGTON,2017-02-21,1,,,0
INCSTM,27,ITSC-MTH,JLAPINGTON,2017-02-21,1,,,0
INCSTM,24,MJFC-OCS,JLAPINGTON,2017-08-09,1,,,0
INCSTM,24,MJIT-OCS,JLAPINGTON,2017-08-09,1,,,0
INCSTM,29,CFRS-300,SGOSS,2016-02-13,1,,,0
INCSTM,29,CFRS-310,SGOSS,2016-02-13,1,,,0
INCSTM,24,MJRC-OCS,JLAPINGTON,2017-08-09,1,,,0
INCSTM,25,MJAC-OIT,JLAPINGTON,2017-08-09,1,,,0
INCSTM,25,MJBD-OIT,JLAPINGTON,2017-08-09,1,,,0
INCSTM,25,MJCN-OIT,JLAPINGTON,2017-08-09,1,,,0
INCSTM,25,MJEM-OIT,JLAPINGTON,2017-08-09,1,,,0
INCSTM,25,MJFC-OIT,JLAPINGTON,2017-08-09,1,,,0
INCSTM,25,MJHR-OIT,JLAPINGTON,2017-08-09,1,,,0
INCSTM,25,MJIT-OIT,JLAPINGTON,2017-08-09,1,,,0
INCSTM,21,0475-000,SGOSS,2016-02-13,1,,,0
BALSHT,38,0475-000,SGOSS,2016-02-13,1,,,0
INCSTM,7,1010-010,SGOSS,2016-02-13,1,,,0
INCSTM,24,0517-005,SGOSS,2016-02-13,1,,,0
BALSHT,38,0517-110,SGOSS,2016-02-13,1,,,0
BALSHT,38,1010-010,SGOSS,2016-02-13,1,,,0
