PROJ_ID,ORG_ID,POOL_NO,ALLOC_GRP_NO,ACCT_ID,FY_CD,MODIFIED_BY,TIME_STAMP,BURD_AMT,ALLOW_BURD_AMT,COM_AMT,COM_ALLOW_AMT,ROWVERSION,COMPANY_ID,DISC_AMT
010107.00A.004.000.005,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,43280.67,43280.67,0,0,0,1,0
010111.001.002,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,1150.28,1150.28,0,0,0,1,0
010102.002.011.005,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,1652.63,1652.63,0,0,0,1,0
010105.003.001.002,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,573.9,573.9,0,0,0,1,0
010106.001.011.003.003,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,2566.65,2566.65,0,0,0,1,0
BP0000.009.001,1.01.01,120,1,2000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010802.000.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,14386.79,14386.79,0,0,0,1,0
010102.02A.001,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,1353.83,1353.83,0,0,0,1,0
010106.001.011.006.004,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,8.64,8.64,0,0,0,1,0
010803.000.001.001.005,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,21060.49,0,0,0,0,1,0
020110.000.001.004,1.01.01,120,1,1000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010102.002.010.003,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,3921.35,3921.35,0,0,0,1,0
020110.000.001.004.004,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,15.3,15.3,0,0,0,1,0
BP0000.001.005,1.01.01,110,1,2000-000,2016,JLAPINGTON,2017-06-28,6860.32,0,0,0,0,1,0
BP0000.003.004,1.01.01,120,1,2000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
010301.002.002,1.01.01,120,1,1000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
000850.001.005,1.01.01,110,1,0800-000,2016,JLAPINGTON,2017-06-28,486.37,0,0,0,0,1,0
010105.003.002.005.001,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,272.19,272.19,0,0,0,1,0
010106.001.011.002.004,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,4341.79,4341.79,0,0,0,1,0
020101.001.001,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,988.05,0,0,0,0,1,0
010802.000.007,1.01.01,110,1,1000-000,2016,JLAPINGTON,2017-06-28,69.61,69.61,0,0,0,1,0
010105.003.002.009.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,12234.05,12234.05,0,0,0,1,0
010105.003.002.010.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,1247.78,1247.78,0,0,0,1,0
010106.001.011.011.005,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,2.38,2.38,0,0,0,1,0
020101.002.004,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,19374.58,0,0,0,0,1,0
020101.002.006,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,7862.07,0,0,0,0,1,0
010106.001.011.005,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,2.2,2.2,0,0,0,1,0
010105.003.002.008.003,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,33.65,33.65,0,0,0,1,0
010107.00A.002.000.001,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,1842.02,1842.02,0,0,0,1,0
010603.000.001,1.01,175,1,1010-005,2016,JLAPINGTON,2017-06-28,37.69,37.69,0,0,0,1,0
BP0000.000.002,1.01.01,121,1,2000-100,2016,JLAPINGTON,2017-06-28,497.7,0,0,0,0,1,0
010105.004.002.002.003,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,2183.41,2183.41,0,0,0,1,0
020110.000.006.001,1.01,175,1,1120-999,2016,JLAPINGTON,2017-06-28,0.23,0,0,0,0,1,0
020602.001.003.000,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,1024.23,0,0,0,0,1,0
020101.003.004,1.01,160,1,1100-000,2016,JLAPINGTON,2017-06-28,32.94,0,0,0,0,1,0
010105.003.002.008.001,1.01.01,110,1,1000-100,2016,JLAPINGTON,2017-06-28,146.7,146.7,0,0,0,1,0
020110.000.005.001,1.01,175,1,1010-005,2016,JLAPINGTON,2017-06-28,263.9,78.27,0,0,0,1,0
010301.002.002,1.01.01,121,1,1000-100,2016,JLAPINGTON,2017-06-28,14761.13,14761.13,0,0,0,1,0
010105.004.001.001.002,1.01,175,1,1100-000,2016,JLAPINGTON,2017-06-28,68.27,68.27,0,0,0,1,0
020110.000.003.004,1.01.01,120,1,1000-000,2016,JLAPINGTON,2017-06-28,0,0,0,0,0,1,0
020101.001.006,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,7397.46,0,0,0,0,1,0
020101.002.001,1.01.01,175,1,1000-100,2016,JLAPINGTON,2017-06-28,1275.68,0,0,0,0,1,0
